layer,metric,mean,max,std,last_value,last_iteration
16,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
17,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
18,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
19,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
20,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
21,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
22,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
23,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
24,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
25,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
26,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
27,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
28,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
29,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
30,fc2_gradient_underflows%,0.0007,0.0007,0.0,0.0007,22070
3,layernorm_qkv_activation_underflows%,0.0007723278985507246,0.0021,0.0005080856127181052,0.0017,22070
4,layernorm_qkv_activation_underflows%,0.002517572463768116,0.0046,0.000932462960074122,0.004,22070
5,layernorm_qkv_activation_underflows%,0.0025363224637681156,0.0038,0.0006348035164429651,0.0036,22070
6,layernorm_qkv_activation_underflows%,0.0019382246376811595,0.0028,0.00041865960869944295,0.0026,22070
7,layernorm_qkv_activation_underflows%,0.0007965126811594203,0.0011,0.00016444652216445163,0.0011,22070
8,layernorm_qkv_activation_underflows%,0.00045887681159420296,0.0006,8.778091547840213e-05,0.0006,22070
9,layernorm_qkv_activation_underflows%,0.0002673460144927536,0.0003,4.748141383888378e-05,0.0003,22070
10,layernorm_qkv_activation_underflows%,0.00017599637681159423,0.0002,4.272019357740158e-05,0.0002,22070
11,layernorm_qkv_activation_underflows%,0.00010000000000000002,0.0001,1.3555597158861852e-20,0.0001,22070
12,layernorm_qkv_activation_underflows%,0.00010000000000000002,0.0001,1.3555597158861852e-20,0.0001,22070
13,layernorm_qkv_activation_underflows%,0.00010000000000000002,0.0001,1.3555597158861852e-20,0.0001,22070
14,layernorm_qkv_activation_underflows%,9.809782608695654e-05,0.0001,1.3663223429136266e-05,0.0001,22070
15,layernorm_qkv_activation_underflows%,6.906702898550725e-05,0.0001,4.6232201315458756e-05,0.0001,22070
16,layernorm_qkv_activation_underflows%,2.173913043478261e-06,0.0001,1.4586355470872675e-05,0.0,22070
17,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
18,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
